Qu1,Qu2,Qu3,Qd1,Qd2,Qd3,Qe1,Qe2,Qe3,Qq1,Qq2,Qq3,Ql1,Ql2,Ql3,Qv1,Qv2,Qv3,QHu,QHd,Qs,QDx,QDxbar
-0.125,-0.125,-0.125,0.25,0.25,0.25,0.5,1,-0.375,0.125,0.125,0.125,-0.5,-1,0.75,0.5,1,-0.75,0,-0.375,0.375,0,-0.375
0,0,0,-0.222222222,-0.222222222,-0.222222222,0,-0.777777778,0.111111111,-0.111111111,-0.111111111,-0.111111111,0.111111111,0.888888889,-0.444444444,-0.222222222,-1,0.333333333,0.111111111,0.333333333,-0.444444444,0.111111111,0.333333333
-0.1,-0.1,-0.1,0.2,0.2,0.2,1,0.2,-0.3,0.1,0.1,0.1,-1,-0.2,0.6,1,0.2,-0.6,0,-0.3,0.3,0,-0.3
-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,0.5,-0.1,-0.1,-0.1,-0.1,0.7,-0.2,-0.3,-1,-0.1,0,0.3,0.4,-0.7,0.3,0.4
0.25,0.25,0.25,0.25,0.25,0.25,-0.625,0.25,0.375,0.125,0.125,0.125,0.25,-0.625,0,0.125,1,0.375,-0.375,-0.375,0.75,-0.375,-0.375
0.3,0.3,0.3,0,0,0,-0.5,-1,0.6,0,0,0,0.2,0.7,-0.6,0.1,-0.4,0.9,-0.3,0,0.3,-0.3,0
-0.111111111,-0.111111111,-0.111111111,0,0,0,1,-0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,-1,0.111111111,0,1,-0.111111111,0,0,-0.111111111,0.111111111,0,-0.111111111
0.125,0.125,0.125,0.125,0.125,0.125,0.625,-1,0,0,0,0,-0.75,0.875,0.125,0.875,-0.75,0,-0.125,-0.125,0.25,-0.125,-0.125
-0.333333333,-0.333333333,-0.333333333,-0.222222222,-0.222222222,-0.222222222,0.555555556,1,0.111111111,0.111111111,0.111111111,0.111111111,-0.333333333,-0.777777778,-0.222222222,0.111111111,0.555555556,0,0.222222222,0.111111111,-0.333333333,0.222222222,0.111111111
0.3,0.3,0.3,0.3,0.3,0.3,0.1,-1,0,0,0,0,-0.4,0.7,0.3,0.7,-0.4,0,-0.3,-0.3,0.6,-0.3,-0.3
0,0,0,-0.1,-0.1,-0.1,0.3,-0.8,-0.1,-0.1,-0.1,-0.1,-0.2,0.9,-0.1,0.1,-1,0,0.1,0.2,-0.3,0.1,0.2
-0.25,-0.25,-0.25,0,0,0,0.25,1,-0.5,0,0,0,0,-0.75,0.5,-0.25,0.5,-0.75,0.25,0,-0.25,0.25,0
0.125,0.125,0.125,0.25,0.25,0.25,0.5,-0.25,0.125,0.125,0.125,0.125,-0.75,0,0.25,1,0.25,0,-0.25,-0.375,0.625,-0.25,-0.375
0.166666667,0.166666667,0.166666667,0,0,0,-1,-0.333333333,-0.166666667,-0.166666667,-0.166666667,-0.166666667,1,0.333333333,0,-1,-0.333333333,0,0,0.166666667,-0.166666667,0,0.166666667
0,0,0,-0.125,-0.125,-0.125,0.125,-0.75,-0.125,-0.125,-0.125,-0.125,0,0.875,-0.125,-0.125,-1,0,0.125,0.25,-0.375,0.125,0.25
0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,-0.6,-0.6,0.4,1,1,0,-0.4,-0.6,1,-0.4,-0.6
0.5,0.5,0.5,0.5,0.5,0.5,-0.75,-0.75,0,0,0,0,0.25,0.25,0.5,0.25,0.25,0,-0.5,-0.5,1,-0.5,-0.5
-0.166666667,-0.166666667,-0.166666667,0,0,0,1,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,-1,-0.333333333,0,1,0.333333333,0,0,-0.166666667,0.166666667,0,-0.166666667
0.4,0.4,0.4,0.4,0.4,0.4,-1,-0.2,0,0,0,0,0.6,-0.2,0.4,-0.2,0.6,0,-0.4,-0.4,0.8,-0.4,-0.4
-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,1,-0.625,0,0,0,0,-0.875,0.75,-0.125,0.75,-0.875,0,0.125,0.125,-0.25,0.125,0.125
-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,0.7,1,0.1,0.1,0.1,0.1,-0.4,-0.7,-0.3,0.1,0.4,0,0.3,0.2,-0.5,0.3,0.2
0,0,0,0.166666667,0.166666667,0.166666667,0.666666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,-0.833333333,-0.333333333,0.166666667,1,0.5,0,-0.166666667,-0.333333333,0.5,-0.166666667,-0.333333333
0.1,0.1,0.1,0,0,0,0.5,-1,0.2,0,0,0,-0.6,0.9,-0.2,0.7,-0.8,0.3,-0.1,0,0.1,-0.1,0
0.3,0.3,0.3,0.2,0.2,0.2,-0.4,-1,-0.1,-0.1,-0.1,-0.1,0.2,0.8,0.2,0,-0.6,0,-0.2,-0.1,0.3,-0.2,-0.1
0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,-1,0.666666667,0,0,0,0,0.888888889,-0.777777778,0.111111111,-0.777777778,0.888888889,0,-0.111111111,-0.111111111,0.222222222,-0.111111111,-0.111111111
-0.111111111,-0.111111111,-0.111111111,0.222222222,0.222222222,0.222222222,0.333333333,1,-0.333333333,0.111111111,0.111111111,0.111111111,-0.333333333,-1,0.666666667,0.333333333,1,-0.666666667,0,-0.333333333,0.333333333,0,-0.333333333
-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,1,0.7,0.1,0.1,0.1,0.1,-0.7,-0.4,-0.3,0.4,0.1,0,0.3,0.2,-0.5,0.3,0.2
-0.428571429,-0.428571429,-0.428571429,-0.285714286,-0.285714286,-0.285714286,1,0.142857143,-0.714285714,-0.142857143,-0.142857143,-0.142857143,-0.428571429,0.428571429,0.285714286,-0.142857143,-1,-0.857142857,0.571428571,0.428571429,-1,0.571428571,0.428571429
0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0,0.166666667,0.166666667,0.166666667,0.166666667,-0.666666667,-0.333333333,0.333333333,1,0.666666667,0,-0.333333333,-0.5,0.833333333,-0.333333333,-0.5
0.5,0.5,0.5,0.5,0.5,0.5,-0.75,-0.75,0,0,0,0,0.25,0.25,0.5,0.25,0.25,0,-0.5,-0.5,1,-0.5,-0.5
0.25,0.25,0.25,0.375,0.375,0.375,0.25,-0.375,0.125,0.125,0.125,0.125,-0.625,0,0.375,1,0.375,0,-0.375,-0.5,0.875,-0.375,-0.5
-0.285714286,-0.285714286,-0.285714286,-0.428571429,-0.428571429,-0.428571429,0,0.142857143,-0.142857143,-0.142857143,-0.142857143,-0.142857143,0.428571429,0.285714286,-0.428571429,-0.857142857,-0.714285714,0,0.428571429,0.571428571,-1,0.428571429,0.571428571
0.4,0.4,0.4,0.2,0.2,0.2,-1,-0.3,0.7,0.1,0.1,0.1,0.5,-0.2,-0.4,0,0.7,0.9,-0.5,-0.3,0.8,-0.5,-0.3
0,0,0,0.222222222,0.222222222,0.222222222,0,0.777777778,-0.111111111,0.111111111,0.111111111,0.111111111,-0.111111111,-0.888888889,0.444444444,0.222222222,1,-0.333333333,-0.111111111,-0.333333333,0.444444444,-0.111111111,-0.333333333
-0.111111111,-0.111111111,-0.111111111,-0.222222222,-0.222222222,-0.222222222,-0.555555556,0.333333333,-0.111111111,-0.111111111,-0.111111111,-0.111111111,0.777777778,-0.111111111,-0.222222222,-1,-0.111111111,0,0.222222222,0.333333333,-0.555555556,0.222222222,0.333333333
0.5,0.5,0.5,0.5,0.5,0.5,-0.666666667,-0.833333333,0,0,0,0,0.166666667,0.333333333,0.5,0.333333333,0.166666667,0,-0.5,-0.5,1,-0.5,-0.5
0.2,0.2,0.2,0.1,0.1,0.1,-0.1,-1,-0.1,-0.1,-0.1,-0.1,0,0.9,0.1,0.1,-0.8,0,-0.1,0,0.1,-0.1,0
0,0,0,0.142857143,0.142857143,0.142857143,0.714285714,0,0.142857143,0.142857143,0.142857143,0.142857143,-0.857142857,-0.142857143,0.142857143,1,0.285714286,0,-0.142857143,-0.285714286,0.428571429,-0.142857143,-0.285714286
-0.142857143,-0.142857143,-0.142857143,-0.285714286,-0.285714286,-0.285714286,0.142857143,-0.428571429,-0.142857143,-0.142857143,-0.142857143,-0.142857143,0.142857143,0.714285714,-0.285714286,-0.428571429,-1,0,0.285714286,0.428571429,-0.714285714,0.285714286,0.428571429
0.4,0.4,0.4,0.4,0.4,0.4,-1,-0.2,0,0,0,0,0.6,-0.2,0.4,-0.2,0.6,0,-0.4,-0.4,0.8,-0.4,-0.4
-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,0.5,0,-0.5,-0.166666667,-0.166666667,-0.166666667,0,0.5,0,-0.5,-1,-0.5,0.5,0.5,-1,0.5,0.5
0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.666666667,-1,0,0,0,0,-0.777777778,0.888888889,0.111111111,0.888888889,-0.777777778,0,-0.111111111,-0.111111111,0.222222222,-0.111111111,-0.111111111
0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.4,0.2,0.2,0.2,0.2,-0.6,-0.7,0.3,0.9,1,0,-0.3,-0.5,0.8,-0.3,-0.5
-0.444444444,-0.444444444,-0.444444444,-0.222222222,-0.222222222,-0.222222222,0.888888889,0.555555556,-0.777777778,-0.111111111,-0.111111111,-0.111111111,-0.333333333,0,0.444444444,-0.222222222,-0.555555556,-1,0.555555556,0.333333333,-0.888888889,0.555555556,0.333333333
-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,1,-0.625,0,0,0,0,-0.875,0.75,-0.125,0.75,-0.875,0,0.125,0.125,-0.25,0.125,0.125
0.333333333,0.333333333,0.333333333,0.222222222,0.222222222,0.222222222,-0.555555556,-1,-0.111111111,-0.111111111,-0.111111111,-0.111111111,0.333333333,0.777777778,0.222222222,-0.111111111,-0.555555556,0,-0.222222222,-0.111111111,0.333333333,-0.222222222,-0.111111111
0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,0.428571429,-1,-0.285714286,0,0,0,0,0.571428571,-0.142857143,0.428571429,-0.142857143,0.571428571,0,-0.428571429,-0.428571429,0.857142857,-0.428571429,-0.428571429
-0.428571429,-0.428571429,-0.428571429,-0.285714286,-0.285714286,-0.285714286,0.142857143,1,-0.714285714,-0.142857143,-0.142857143,-0.142857143,0.428571429,-0.428571429,0.285714286,-1,-0.142857143,-0.857142857,0.571428571,0.428571429,-1,0.571428571,0.428571429
0,0,0,-0.25,-0.25,-0.25,-0.75,-0.125,0.125,-0.125,-0.125,-0.125,0.875,0.25,-0.5,-1,-0.375,0.375,0.125,0.375,-0.5,0.125,0.375
0.4,0.4,0.4,0.4,0.4,0.4,-0.2,-1,0,0,0,0,-0.2,0.6,0.4,0.6,-0.2,0,-0.4,-0.4,0.8,-0.4,-0.4
0,0,0,-0.2,-0.2,-0.2,-0.4,-0.6,-0.2,-0.2,-0.2,-0.2,0.6,0.8,-0.2,-0.8,-1,0,0.2,0.4,-0.6,0.2,0.4
-0.285714286,-0.285714286,-0.285714286,-0.285714286,-0.285714286,-0.285714286,-0.142857143,0.571428571,-0.428571429,-0.142857143,-0.142857143,-0.142857143,0.571428571,-0.142857143,0,-1,-0.285714286,-0.428571429,0.428571429,0.428571429,-0.857142857,0.428571429,0.428571429
0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,-0.6,-0.6,0.4,1,1,0,-0.4,-0.6,1,-0.4,-0.6
0.111111111,0.111111111,0.111111111,0.222222222,0.222222222,0.222222222,-0.333333333,0.555555556,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,-0.777777778,0.222222222,0.111111111,1,0,-0.222222222,-0.333333333,0.555555556,-0.222222222,-0.333333333
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,1,-0.4,0,0,0,0,-0.8,0.6,-0.2,0.6,-0.8,0,0.2,0.2,-0.4,0.2,0.2
0.125,0.125,0.125,0.25,0.25,0.25,-0.25,0.5,0.125,0.125,0.125,0.125,0,-0.75,0.25,0.25,1,0,-0.25,-0.375,0.625,-0.25,-0.375
-0.285714286,-0.285714286,-0.285714286,-0.428571429,-0.428571429,-0.428571429,-0.142857143,0.285714286,-0.142857143,-0.142857143,-0.142857143,-0.142857143,0.571428571,0.142857143,-0.428571429,-1,-0.571428571,0,0.428571429,0.571428571,-1,0.428571429,0.571428571
-0.428571429,-0.428571429,-0.428571429,-0.285714286,-0.285714286,-0.285714286,0.285714286,0.857142857,-0.714285714,-0.142857143,-0.142857143,-0.142857143,0.285714286,-0.285714286,0.285714286,-0.857142857,-0.285714286,-0.857142857,0.571428571,0.428571429,-1,0.571428571,0.428571429
-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,1,0.2,0,0,0,0,-0.6,0.2,-0.4,0.2,-0.6,0,0.4,0.4,-0.8,0.4,0.4
0.3,0.3,0.3,0.2,0.2,0.2,-1,0.2,0.5,0.1,0.1,0.1,0.6,-0.6,-0.2,-0.2,1,0.6,-0.4,-0.3,0.7,-0.4,-0.3
-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,1,-0.5,0,0,0,0,-0.833333333,0.666666667,-0.166666667,0.666666667,-0.833333333,0,0.166666667,0.166666667,-0.333333333,0.166666667,0.166666667
0,0,0,-0.2,-0.2,-0.2,-0.6,-0.4,-0.2,-0.2,-0.2,-0.2,0.8,0.6,-0.2,-1,-0.8,0,0.2,0.4,-0.6,0.2,0.4
0.2,0.2,0.2,0,0,0,-1,-0.6,-0.2,-0.2,-0.2,-0.2,1,0.6,0,-1,-0.6,0,0,0.2,-0.2,0,0.2
0.222222222,0.222222222,0.222222222,0,0,0,-1,-0.777777778,-0.222222222,-0.222222222,-0.222222222,-0.222222222,1,0.777777778,0,-1,-0.777777778,0,0,0.222222222,-0.222222222,0,0.222222222
0.285714286,0.285714286,0.285714286,0.428571429,0.428571429,0.428571429,0,-0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,-0.428571429,-0.285714286,0.428571429,0.857142857,0.714285714,0,-0.428571429,-0.571428571,1,-0.428571429,-0.571428571
-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8,0.7,0,0,0,0,-0.3,-0.2,-0.5,-0.2,-0.3,0,0.5,0.5,-1,0.5,0.5
-0.333333333,-0.333333333,-0.333333333,-0.222222222,-0.222222222,-0.222222222,-0.111111111,1,-0.555555556,-0.111111111,-0.111111111,-0.111111111,0.555555556,-0.555555556,0.222222222,-1,0.111111111,-0.666666667,0.444444444,0.333333333,-0.777777778,0.444444444,0.333333333
-0.142857143,-0.142857143,-0.142857143,-0.285714286,-0.285714286,-0.285714286,0.142857143,-0.428571429,-0.142857143,-0.142857143,-0.142857143,-0.142857143,0.142857143,0.714285714,-0.285714286,-0.428571429,-1,0,0.285714286,0.428571429,-0.714285714,0.285714286,0.428571429
0,0,0,0.25,0.25,0.25,0.125,0.75,-0.125,0.125,0.125,0.125,-0.25,-0.875,0.5,0.375,1,-0.375,-0.125,-0.375,0.5,-0.125,-0.375
-0.166666667,-0.166666667,-0.166666667,-0.333333333,-0.333333333,-0.333333333,0,-0.333333333,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.333333333,0.666666667,-0.333333333,-0.666666667,-1,0,0.333333333,0.5,-0.833333333,0.333333333,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.625,0.375,0.125,0.125,0.125,-0.625,0.25,0,1,0.125,0.375,-0.375,-0.375,0.75,-0.375,-0.375
-0.375,-0.375,-0.375,-0.25,-0.25,-0.25,0.75,1,0.125,0.125,0.125,0.125,-0.5,-0.75,-0.25,0.25,0.5,0,0.25,0.125,-0.375,0.25,0.125
0.4,0.4,0.4,0.3,0.3,0.3,-1,-0.7,-0.1,-0.1,-0.1,-0.1,0.7,0.4,0.3,-0.4,-0.1,0,-0.3,-0.2,0.5,-0.3,-0.2
-0.333333333,-0.333333333,-0.333333333,-0.444444444,-0.444444444,-0.444444444,-0.111111111,0.555555556,-0.111111111,-0.111111111,-0.111111111,-0.111111111,0.555555556,-0.111111111,-0.444444444,-1,-0.333333333,0,0.444444444,0.555555556,-1,0.444444444,0.555555556
0.285714286,0.285714286,0.285714286,0.142857143,0.142857143,0.142857143,-0.571428571,-1,-0.142857143,-0.142857143,-0.142857143,-0.142857143,0.428571429,0.857142857,0.142857143,-0.285714286,-0.714285714,0,-0.142857143,0,0.142857143,-0.142857143,0
-0.333333333,-0.333333333,-0.333333333,-0.444444444,-0.444444444,-0.444444444,0,0.444444444,-0.111111111,-0.111111111,-0.111111111,-0.111111111,0.444444444,0,-0.444444444,-0.888888889,-0.444444444,0,0.444444444,0.555555556,-1,0.444444444,0.555555556
-0.333333333,-0.333333333,-0.333333333,0,0,0,0.666666667,1,-0.666666667,0,0,0,-0.333333333,-0.666666667,0.666666667,0,0.333333333,-1,0.333333333,0,-0.333333333,0.333333333,0
0.3,0.3,0.3,0,0,0,-1,-0.5,0.6,0,0,0,0.7,0.2,-0.6,-0.4,0.1,0.9,-0.3,0,0.3,-0.3,0
0.5,0.5,0.5,0.5,0.5,0.5,-0.9,-0.6,0,0,0,0,0.4,0.1,0.5,0.1,0.4,0,-0.5,-0.5,1,-0.5,-0.5
0.375,0.375,0.375,0.25,0.25,0.25,0,-1,0.625,0.125,0.125,0.125,-0.5,0.5,-0.25,1,0,0.75,-0.5,-0.375,0.875,-0.5,-0.375
-0.375,-0.375,-0.375,-0.25,-0.25,-0.25,1,0.75,0.125,0.125,0.125,0.125,-0.75,-0.5,-0.25,0.5,0.25,0,0.25,0.125,-0.375,0.25,0.125
0.2,0.2,0.2,0.3,0.3,0.3,0.4,-0.5,0.1,0.1,0.1,0.1,-0.7,0.2,0.3,1,0.1,0,-0.3,-0.4,0.7,-0.3,-0.4
0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,-0.6,-0.6,0.4,1,1,0,-0.4,-0.6,1,-0.4,-0.6
0.111111111,0.111111111,0.111111111,-0.111111111,-0.111111111,-0.111111111,-0.777777778,-0.666666667,-0.222222222,-0.222222222,-0.222222222,-0.222222222,0.888888889,0.777777778,-0.111111111,-1,-0.888888889,0,0.111111111,0.333333333,-0.444444444,0.111111111,0.333333333
0.2,0.2,0.2,0.2,0.2,0.2,0.4,-0.7,0.3,0.1,0.1,0.1,-0.7,0.4,0,1,-0.1,0.3,-0.3,-0.3,0.6,-0.3,-0.3
0.2,0.2,0.2,0,0,0,0,-1,0.4,0,0,0,-0.2,0.8,-0.4,0.4,-0.6,0.6,-0.2,0,0.2,-0.2,0
0.333333333,0.333333333,0.333333333,0,0,0,-0.777777778,-0.888888889,0.666666667,0,0,0,0.444444444,0.555555556,-0.666666667,-0.111111111,-0.222222222,1,-0.333333333,0,0.333333333,-0.333333333,0
0.25,0.25,0.25,0.25,0.25,0.25,-1,0.25,0,0,0,0,0.75,-0.5,0.25,-0.5,0.75,0,-0.25,-0.25,0.5,-0.25,-0.25
0.428571429,0.428571429,0.428571429,0.285714286,0.285714286,0.285714286,-1,-1,-0.142857143,-0.142857143,-0.142857143,-0.142857143,0.714285714,0.714285714,0.285714286,-0.428571429,-0.428571429,0,-0.285714286,-0.142857143,0.428571429,-0.285714286,-0.142857143
-0.166666667,-0.166666667,-0.166666667,-0.333333333,-0.333333333,-0.333333333,-0.333333333,0,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.666666667,0.333333333,-0.333333333,-1,-0.666666667,0,0.333333333,0.5,-0.833333333,0.333333333,0.5
0.142857143,0.142857143,0.142857143,0,0,0,-0.142857143,-1,-0.142857143,-0.142857143,-0.142857143,-0.142857143,0.142857143,1,0,-0.142857143,-1,0,0,0.142857143,-0.142857143,0,0.142857143
0.444444444,0.444444444,0.444444444,0.222222222,0.222222222,0.222222222,-0.666666667,-0.777777778,0.777777778,0.111111111,0.111111111,0.111111111,0.111111111,0.222222222,-0.444444444,0.444444444,0.333333333,1,-0.555555556,-0.333333333,0.888888889,-0.555555556,-0.333333333
0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-1,0,0,0,0,0,0.5,0.5,0.5,0,0,-0.5,-0.5,1,-0.5,-0.5
-0.1,-0.1,-0.1,0,0,0,1,-0.2,0.1,0.1,0.1,0.1,-1,0.2,0,1,-0.2,0,0,-0.1,0.1,0,-0.1
-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.666666667,0.833333333,0,0,0,0,-0.166666667,-0.333333333,-0.5,-0.333333333,-0.166666667,0,0.5,0.5,-1,0.5,0.5
-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,0.2,1,0,0,0,0,0.2,-0.6,-0.4,-0.6,0.2,0,0.4,0.4,-0.8,0.4,0.4
-0.25,-0.25,-0.25,0,0,0,0.25,1,-0.5,0,0,0,0,-0.75,0.5,-0.25,0.5,-0.75,0.25,0,-0.25,0.25,0
-0.3,-0.3,-0.3,0,0,0,0.5,1,-0.6,0,0,0,-0.2,-0.7,0.6,-0.1,0.4,-0.9,0.3,0,-0.3,0.3,0
-0.142857143,-0.142857143,-0.142857143,-0.285714286,-0.285714286,-0.285714286,-0.428571429,0.142857143,-0.142857143,-0.142857143,-0.142857143,-0.142857143,0.714285714,0.142857143,-0.285714286,-1,-0.428571429,0,0.285714286,0.428571429,-0.714285714,0.285714286,0.428571429
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,1,0,0,0,0,0.6,-0.8,-0.2,-0.8,0.6,0,0.2,0.2,-0.4,0.2,0.2
0,0,0,-0.25,-0.25,-0.25,-0.75,-0.125,0.125,-0.125,-0.125,-0.125,0.875,0.25,-0.5,-1,-0.375,0.375,0.125,0.375,-0.5,0.125,0.375
0.2,0.2,0.2,0,0,0,0,-1,0.4,0,0,0,-0.2,0.8,-0.4,0.4,-0.6,0.6,-0.2,0,0.2,-0.2,0
-0.375,-0.375,-0.375,-0.25,-0.25,-0.25,1,0.75,0.125,0.125,0.125,0.125,-0.75,-0.5,-0.25,0.5,0.25,0,0.25,0.125,-0.375,0.25,0.125
-0.222222222,-0.222222222,-0.222222222,-0.222222222,-0.222222222,-0.222222222,0.666666667,-0.333333333,-0.333333333,-0.111111111,-0.111111111,-0.111111111,-0.333333333,0.666666667,0,0,-1,-0.333333333,0.333333333,0.333333333,-0.666666667,0.333333333,0.333333333
0,0,0,-0.25,-0.25,-0.25,-0.75,-0.125,0.125,-0.125,-0.125,-0.125,0.875,0.25,-0.5,-1,-0.375,0.375,0.125,0.375,-0.5,0.125,0.375
-0.25,-0.25,-0.25,-0.375,-0.375,-0.375,0.375,-0.25,-0.125,-0.125,-0.125,-0.125,0,0.625,-0.375,-0.375,-1,0,0.375,0.5,-0.875,0.375,0.5
-0.25,-0.25,-0.25,0,0,0,1,0.25,-0.5,0,0,0,-0.75,0,0.5,0.5,-0.25,-0.75,0.25,0,-0.25,0.25,0
-0.125,-0.125,-0.125,0,0,0,-0.375,1,-0.25,0,0,0,0.5,-0.875,0.25,-0.625,0.75,-0.375,0.125,0,-0.125,0.125,0
-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,1,0,0,0,0,0,-0.5,-0.5,-0.5,0,0,0.5,0.5,-1,0.5,0.5
-0.1,-0.1,-0.1,0.2,0.2,0.2,1,0.2,-0.3,0.1,0.1,0.1,-1,-0.2,0.6,1,0.2,-0.6,0,-0.3,0.3,0,-0.3
-0.333333333,-0.333333333,-0.333333333,0,0,0,0.666666667,1,-0.666666667,0,0,0,-0.333333333,-0.666666667,0.666666667,0,0.333333333,-1,0.333333333,0,-0.333333333,0.333333333,0
-0.2,-0.2,-0.2,0,0,0,1,0,-0.4,0,0,0,-0.8,0.2,0.4,0.6,-0.4,-0.6,0.2,0,-0.2,0.2,0
-0.2,-0.2,-0.2,-0.4,-0.4,-0.4,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.6,0.6,-0.4,-1,-1,0,0.4,0.6,-1,0.4,0.6
-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,1,0,0,0,0,0,-0.666666667,0.333333333,-0.333333333,0.333333333,-0.666666667,0,0.333333333,0.333333333,-0.666666667,0.333333333,0.333333333
0,0,0,0.166666667,0.166666667,0.166666667,0.666666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,-0.833333333,-0.333333333,0.166666667,1,0.5,0,-0.166666667,-0.333333333,0.5,-0.166666667,-0.333333333
0.125,0.125,0.125,0.125,0.125,0.125,-1,0.625,0,0,0,0,0.875,-0.75,0.125,-0.75,0.875,0,-0.125,-0.125,0.25,-0.125,-0.125
0.125,0.125,0.125,-0.25,-0.25,-0.25,-1,-0.5,0.375,-0.125,-0.125,-0.125,1,0.5,-0.75,-1,-0.5,0.75,0,0.375,-0.375,0,0.375
0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,-1,0.666666667,0,0,0,0,0.888888889,-0.777777778,0.111111111,-0.777777778,0.888888889,0,-0.111111111,-0.111111111,0.222222222,-0.111111111,-0.111111111
-0.222222222,-0.222222222,-0.222222222,-0.222222222,-0.222222222,-0.222222222,-0.333333333,1,0,0,0,0,0.555555556,-0.777777778,-0.222222222,-0.777777778,0.555555556,0,0.222222222,0.222222222,-0.444444444,0.222222222,0.222222222
0.2,0.2,0.2,-0.2,-0.2,-0.2,-0.7,-1,0.5,-0.1,-0.1,-0.1,0.6,0.9,-0.8,-0.5,-0.8,0.9,-0.1,0.3,-0.2,-0.1,0.3
-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,0,1,0,0,0,0,0.333333333,-0.666666667,-0.333333333,-0.666666667,0.333333333,0,0.333333333,0.333333333,-0.666666667,0.333333333,0.333333333
0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,-0.6,-0.6,0.4,1,1,0,-0.4,-0.6,1,-0.4,-0.6
-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,1,-0.5,0,0,0,0,-0.833333333,0.666666667,-0.166666667,0.666666667,-0.833333333,0,0.166666667,0.166666667,-0.333333333,0.166666667,0.166666667
0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0,0.166666667,0.166666667,0.166666667,0.166666667,-0.666666667,-0.333333333,0.333333333,1,0.666666667,0,-0.333333333,-0.5,0.833333333,-0.333333333,-0.5
0.125,0.125,0.125,-0.25,-0.25,-0.25,-0.5,-1,0.375,-0.125,-0.125,-0.125,0.5,1,-0.75,-0.5,-1,0.75,0,0.375,-0.375,0,0.375
0,0,0,0.111111111,0.111111111,0.111111111,0.777777778,-0.222222222,0.111111111,0.111111111,0.111111111,0.111111111,-0.888888889,0.111111111,0.111111111,1,0,0,-0.111111111,-0.222222222,0.333333333,-0.111111111,-0.222222222
0.111111111,0.111111111,0.111111111,-0.111111111,-0.111111111,-0.111111111,-0.777777778,-0.666666667,-0.222222222,-0.222222222,-0.222222222,-0.222222222,0.888888889,0.777777778,-0.111111111,-1,-0.888888889,0,0.111111111,0.333333333,-0.444444444,0.111111111,0.333333333
0.25,0.25,0.25,0.25,0.25,0.25,-1,0.25,0,0,0,0,0.75,-0.5,0.25,-0.5,0.75,0,-0.25,-0.25,0.5,-0.25,-0.25
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.4,0.7,-0.3,-0.1,-0.1,-0.1,0.7,-0.4,0,-1,0.1,-0.3,0.3,0.3,-0.6,0.3,0.3
0.125,0.125,0.125,0.125,0.125,0.125,0.625,-1,0,0,0,0,-0.75,0.875,0.125,0.875,-0.75,0,-0.125,-0.125,0.25,-0.125,-0.125
